date,row_id,row_name,total_list_size
2021-04-01,10R,NHS PORTSMOUTH,230086
2021-04-01,11J,NHS DORSET,811484
2021-04-01,11M,NHS GLOUCESTERSHIRE,666413
2021-04-01,11N,NHS CORNWALL AND THE ISLES OF SCILLY,592595
2021-04-01,11X,NHS SOMERSET,588379
2021-04-01,12F,NHS WIRRAL,338175
2021-04-01,13T,NHS NEWCASTLE GATESHEAD,532265
2021-04-01,14L,NHS MANCHESTER,677745
2021-04-01,14Y,NHS BUCKINGHAMSHIRE,573374
2021-04-01,15A,NHS BERKSHIRE WEST,557531
2021-04-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",1042556
2021-04-01,15E,NHS BIRMINGHAM AND SOLIHULL,1553408
2021-04-01,15F,NHS LEEDS,897929
2021-04-01,15M,NHS DERBY AND DERBYSHIRE,1100205
2021-04-01,15N,NHS DEVON,1256751
2021-04-01,16C,NHS TEES VALLEY,711236
2021-04-01,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,807412
2021-04-01,26A,NHS NORFOLK AND WAVENEY,1073983
2021-04-01,27D,NHS CHESHIRE,786560
2021-04-01,36J,NHS BRADFORD DISTRICT AND CRAVEN,645635
2021-04-01,36L,NHS SOUTH WEST LONDON,1710972
2021-04-01,42D,NHS NORTH YORKSHIRE,549484
2021-04-01,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,1104115
2021-04-01,70F,NHS WEST SUSSEX,911014
2021-04-01,71E,NHS LINCOLNSHIRE,798602
2021-04-01,72Q,NHS SOUTH EAST LONDON,2018674
2021-04-01,78H,NHS NORTHAMPTONSHIRE,801391
2021-04-01,84H,NHS COUNTY DURHAM,558564
2021-04-01,91Q,NHS KENT AND MEDWAY,1937142
2021-04-01,92A,NHS SURREY HEARTLANDS,1260345
2021-04-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",967905
2021-04-01,93C,NHS NORTH CENTRAL LONDON,1696720
2021-04-01,97R,NHS EAST SUSSEX,562696
2021-04-01,99A,NHS LIVERPOOL,554389
2021-04-01,99C,NHS NORTH TYNESIDE,223243
2021-04-01,99E,NHS BASILDON AND BRENTWOOD,284070
2021-04-01,99F,NHS CASTLE POINT AND ROCHFORD,185432
2021-04-01,99G,NHS SOUTHEND,189770
2021-04-01,A3A8R,NHS NORTH EAST LONDON,2284553
2021-04-01,B2M3M,NHS COVENTRY AND WARWICKSHIRE,1028559
2021-04-01,D2P2L,NHS BLACK COUNTRY,1276731
2021-04-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",1874606
2021-04-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",1052718
2021-04-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",512966
2021-04-01,U2G6B,NHS THAMES VALLEY ICB - U2G6B,454362
2021-04-01,W2U3Z,NHS NORTH WEST LONDON,2664428
2021-04-01,X2C4Y,NHS KIRKLEES,447831
2021-05-01,00L,NHS NORTHUMBERLAND,331462
2021-05-01,00N,NHS SOUTH TYNESIDE,158543
2021-05-01,00P,NHS SUNDERLAND,284397
2021-05-01,00Q,NHS BLACKBURN WITH DARWEN,179667
2021-05-01,00R,NHS BLACKPOOL,175023
2021-05-01,00T,NHS BOLTON,317346
2021-05-01,00V,NHS BURY,207672
2021-05-01,00X,NHS CHORLEY AND SOUTH RIBBLE,187160
2021-05-01,00Y,NHS OLDHAM,260998
2021-05-01,01A,NHS EAST LANCASHIRE,391629
2021-05-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",240006
2021-05-01,01E,NHS GREATER PRESTON,217209
2021-05-01,01F,NHS HALTON,134268
2021-05-01,01G,NHS SALFORD,290429
2021-05-01,01H,NHS NORTH CUMBRIA,327203
2021-05-01,01J,NHS KNOWSLEY,168838
2021-05-01,01K,NHS MORECAMBE BAY,351367
2021-05-01,01T,NHS SOUTH SEFTON,156759
2021-05-01,01V,NHS SOUTHPORT AND FORMBY,125793
2021-05-01,01W,NHS STOCKPORT,318017
2021-05-01,01X,NHS ST HELENS,199533
2021-05-01,01Y,NHS TAMESIDE AND GLOSSOP,218695
2021-05-01,02A,NHS TRAFFORD,244034
2021-05-01,02E,NHS WARRINGTON,220774
2021-05-01,02G,NHS WEST LANCASHIRE,113969
2021-05-01,02H,NHS WIGAN BOROUGH,335223
2021-05-01,02M,NHS FYLDE AND WYRE,180552
2021-05-01,02P,NHS BARNSLEY,264334
2021-05-01,02Q,NHS BASSETLAW,120407
2021-05-01,02T,NHS CALDERDALE,222148
2021-05-01,02X,NHS DONCASTER,326160
2021-05-01,02Y,NHS EAST RIDING OF YORKSHIRE,307247
2021-05-01,03F,NHS HULL,303601
2021-05-01,03H,NHS NORTH EAST LINCOLNSHIRE,170566
2021-05-01,03K,NHS NORTH LINCOLNSHIRE,182714
2021-05-01,03L,NHS ROTHERHAM,265117
2021-05-01,03N,NHS SHEFFIELD,613782
2021-05-01,03Q,NHS VALE OF YORK,249610
2021-05-01,03R,NHS WAKEFIELD,385517
2021-05-01,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,344436
2021-05-01,04C,NHS LEICESTER CITY,421879
2021-05-01,04V,NHS WEST LEICESTERSHIRE,404304
2021-05-01,04Y,NHS CANNOCK CHASE,135501
2021-05-01,05D,NHS EAST STAFFORDSHIRE,146563
2021-05-01,05G,NHS NORTH STAFFORDSHIRE,217125
2021-05-01,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,216343
2021-05-01,05V,NHS STAFFORD AND SURROUNDS,150922
2021-05-01,05W,NHS STOKE ON TRENT,296252
2021-05-01,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,995586
2021-05-01,06K,NHS EAST AND NORTH HERTFORDSHIRE,613064
2021-05-01,06L,NHS IPSWICH AND EAST SUFFOLK,407321
2021-05-01,06N,NHS HERTS VALLEYS,662580
2021-05-01,06Q,NHS MID ESSEX,400928
2021-05-01,06T,NHS NORTH EAST ESSEX,361668
2021-05-01,07G,NHS THURROCK,182916
2021-05-01,07H,NHS WEST ESSEX,321875
2021-05-01,07K,NHS WEST SUFFOLK,268374
2021-05-01,09D,NHS BRIGHTON AND HOVE,324576
2021-05-01,10Q,NHS OXFORDSHIRE,780219
2021-05-01,10R,NHS PORTSMOUTH,230211
2021-05-01,11J,NHS DORSET,812239
2021-05-01,11M,NHS GLOUCESTERSHIRE,667498
2021-05-01,11N,NHS CORNWALL AND THE ISLES OF SCILLY,592891
2021-05-01,11X,NHS SOMERSET,589152
2021-05-01,12F,NHS WIRRAL,338319
2021-05-01,13T,NHS NEWCASTLE GATESHEAD,532000
2021-05-01,14L,NHS MANCHESTER,676888
2021-05-01,14Y,NHS BUCKINGHAMSHIRE,573590
2021-05-01,15A,NHS BERKSHIRE WEST,557865
2021-05-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",1043537
2021-05-01,15E,NHS BIRMINGHAM AND SOLIHULL,1553615
2021-05-01,15F,NHS LEEDS,897827
2021-05-01,15M,NHS DERBY AND DERBYSHIRE,1101336
2021-05-01,15N,NHS DEVON,1257549
2021-05-01,16C,NHS TEES VALLEY,711776
2021-05-01,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,808218
2021-05-01,26A,NHS NORFOLK AND WAVENEY,1074608
2021-05-01,27D,NHS CHESHIRE,787420
2021-05-01,36J,NHS BRADFORD DISTRICT AND CRAVEN,646051
2021-05-01,36L,NHS SOUTH WEST LONDON,1710149
2021-05-01,42D,NHS NORTH YORKSHIRE,550076
