actual_cost,date,items,quantity,row_id,row_name
12401478.6,2021-03-01,1612541,114967125.39999999,B2M3M,NHS COVENTRY AND WARWICKSHIRE
18532070.96,2021-03-01,2057269,207336828.2,D2P2L,NHS BLACK COUNTRY
101715.55,2021-03-01,7199,554267.5,D4U1Y,NHS FRIMLEY
25266337.89,2021-03-01,2657294,227721105.8,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
11349748.53,2021-03-01,1311951,115845341.59999998,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
6985971.5,2021-03-01,779450,67529829.9,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
3986245.16,2021-03-01,482162,42914257.00000001,U2G6B,NHS THAMES VALLEY ICB - U2G6B
21955370.88,2021-03-01,2803516,230960243.2999999,W2U3Z,NHS NORTH WEST LONDON
6186359.88,2021-03-01,792130,65706377.90000001,X2C4Y,NHS KIRKLEES
4807160.5,2021-04-01,713078,54682687.2,00L,NHS NORTHUMBERLAND
2363622.48,2021-04-01,343309,25559113.599999998,00N,NHS SOUTH TYNESIDE
4166228.32,2021-04-01,721449,44334985.6,00P,NHS SUNDERLAND
2235406.03,2021-04-01,288120,22260161.200000003,00Q,NHS BLACKBURN WITH DARWEN
2741034.38,2021-04-01,390735,25610271.0,00R,NHS BLACKPOOL
4189717.88,2021-04-01,505301,44672856.2,00T,NHS BOLTON
2786140.66,2021-04-01,323011,29211426.3,00V,NHS BURY
2440819.52,2021-04-01,290198,24567038.7,00X,NHS CHORLEY AND SOUTH RIBBLE
3743602.34,2021-04-01,459148,41521199.39999999,00Y,NHS OLDHAM
5097625.7,2021-04-01,675629,45587063.79999999,01A,NHS EAST LANCASHIRE
3390096.12,2021-04-01,381738,38171315.6,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2656716.93,2021-04-01,337874,30194401.0,01E,NHS GREATER PRESTON
2222673.61,2021-04-01,261347,24581259.7,01F,NHS HALTON
3702958.81,2021-04-01,514636,40902976.199999996,01G,NHS SALFORD
4944579.64,2021-04-01,640002,45898058.2,01H,NHS NORTH CUMBRIA
2749440.31,2021-04-01,353276,32213218.899999995,01J,NHS KNOWSLEY
4562103.93,2021-04-01,608342,44632130.5,01K,NHS MORECAMBE BAY
2477605.32,2021-04-01,320198,31076937.399999995,01T,NHS SOUTH SEFTON
2022292.08,2021-04-01,258212,20759341.799999997,01V,NHS SOUTHPORT AND FORMBY
4375490.99,2021-04-01,550925,45836133.1,01W,NHS STOCKPORT
3296742.44,2021-04-01,419458,35420679.8,01X,NHS ST HELENS
3399207.43,2021-04-01,413740,35958367.900000006,01Y,NHS TAMESIDE AND GLOSSOP
3077703.79,2021-04-01,403838,32549514.1,02A,NHS TRAFFORD
2899900.09,2021-04-01,325497,28060217.0,02E,NHS WARRINGTON
1621771.82,2021-04-01,187509,17257087.3,02G,NHS WEST LANCASHIRE
5398713.9,2021-04-01,585928,59133921.6,02H,NHS WIGAN BOROUGH
2865998.39,2021-04-01,401280,26883722.900000002,02M,NHS FYLDE AND WYRE
4067841.62,2021-04-01,630342,42675709.199999996,02P,NHS BARNSLEY
1741280.27,2021-04-01,241893,16623351.5,02Q,NHS BASSETLAW
2958998.88,2021-04-01,396798,31515575.7,02T,NHS CALDERDALE
4955457.83,2021-04-01,644110,46658226.9,02X,NHS DONCASTER
4873485.91,2021-04-01,632030,48340328.9,02Y,NHS EAST RIDING OF YORKSHIRE
4157398.66,2021-04-01,574926,47085334.4,03F,NHS HULL
2518243.09,2021-04-01,345484,26565189.999999996,03H,NHS NORTH EAST LINCOLNSHIRE
2884046.78,2021-04-01,394399,30094656.3,03K,NHS NORTH LINCOLNSHIRE
3772769.09,2021-04-01,520440,29387689.900000002,03L,NHS ROTHERHAM
8014600.32,2021-04-01,1104557,84292392.3,03N,NHS SHEFFIELD
2807915.61,2021-04-01,335600,28281115.9,03Q,NHS VALE OF YORK
5320255.93,2021-04-01,650997,55619001.29999999,03R,NHS WAKEFIELD
4423863.64,2021-04-01,530743,42341406.3,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
4492021.82,2021-04-01,579290,55445986.5,04C,NHS LEICESTER CITY
5023386.35,2021-04-01,644739,49214276.0,04V,NHS WEST LEICESTERSHIRE
2086608.67,2021-04-01,236353,22731698.4,04Y,NHS CANNOCK CHASE
1890478.29,2021-04-01,232809,18942222.5,05D,NHS EAST STAFFORDSHIRE
3363385.19,2021-04-01,404101,38986145.6,05G,NHS NORTH STAFFORDSHIRE
2930520.84,2021-04-01,361470,29857840.2,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
2234760.97,2021-04-01,259983,24940018.7,05V,NHS STAFFORD AND SURROUNDS
4258301.88,2021-04-01,526162,54021288.2,05W,NHS STOKE ON TRENT
11078366.31,2021-04-01,1490934,107216217.29999998,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
7058592.11,2021-04-01,939825,62290014.8,06K,NHS EAST AND NORTH HERTFORDSHIRE
5266152.84,2021-04-01,692759,49970003.599999994,06L,NHS IPSWICH AND EAST SUFFOLK
6445718.71,2021-04-01,781590,61384211.0,06N,NHS HERTS VALLEYS
4709424.0,2021-04-01,637165,37009078.1,06Q,NHS MID ESSEX
5420104.25,2021-04-01,711677,52841143.300000004,06T,NHS NORTH EAST ESSEX
2040380.47,2021-04-01,261195,17336701.7,07G,NHS THURROCK
3753430.22,2021-04-01,484444,35999450.099999994,07H,NHS WEST ESSEX
3797645.49,2021-04-01,512702,31821603.5,07K,NHS WEST SUFFOLK
3061585.67,2021-04-01,382120,26993267.299999993,09D,NHS BRIGHTON AND HOVE
7671724.52,2021-04-01,956254,69804728.4,10Q,NHS OXFORDSHIRE
2693064.21,2021-04-01,295796,25681416.1,10R,NHS PORTSMOUTH
11178723.19,2021-04-01,1316537,99692512.79999998,11J,NHS DORSET
7980998.53,2021-04-01,1065579,57479553.699999996,11M,NHS GLOUCESTERSHIRE
8529029.27,2021-04-01,1137984,71712169.21,11N,NHS CORNWALL AND THE ISLES OF SCILLY
7360016.35,2021-04-01,919341,64923587.59999999,11X,NHS SOMERSET
5498994.2,2021-04-01,648013,55418144.4,12F,NHS WIRRAL
6829545.9,2021-04-01,1090976,79866624.69999999,13T,NHS NEWCASTLE GATESHEAD
8075462.15,2021-04-01,1031030,104011719.49999997,14L,NHS MANCHESTER
5815561.98,2021-04-01,669463,57038275.099999994,14Y,NHS BUCKINGHAMSHIRE
5560927.61,2021-04-01,645066,53446475.99999999,15A,NHS BERKSHIRE WEST
11303987.67,2021-04-01,1353145,103511833.00000001,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
17754552.96,2021-04-01,1956793,222945900.80000004,15E,NHS BIRMINGHAM AND SOLIHULL
10775490.66,2021-04-01,1296561,113164936.59999993,15F,NHS LEEDS
13643451.0,2021-04-01,1687326,144759947.5,15M,NHS DERBY AND DERBYSHIRE
17035103.11,2021-04-01,2172584,156000276.59999996,15N,NHS DEVON
10262799.64,2021-04-01,1404150,99691466.3,16C,NHS TEES VALLEY
11006331.29,2021-04-01,1278096,94631552.89999999,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
15013501.59,2021-04-01,2041684,148452015.9,26A,NHS NORFOLK AND WAVENEY
10404407.31,2021-04-01,1315661,101859748.29999998,27D,NHS CHESHIRE
8480127.45,2021-04-01,1045893,99372571.10000001,36J,NHS BRADFORD DISTRICT AND CRAVEN
14479491.06,2021-04-01,1852171,145313296.8,36L,NHS SOUTH WEST LONDON
8055077.52,2021-04-01,1018297,73483270.2,42D,NHS NORTH YORKSHIRE
13001897.03,2021-04-01,1699919,125820236.10000001,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
12054547.13,2021-04-01,1305092,112432835.89999999,70F,NHS WEST SUSSEX
12601858.94,2021-04-01,1803292,115114293.6,71E,NHS LINCOLNSHIRE
17322689.44,2021-04-01,1950324,176073221.50000003,72Q,NHS SOUTH EAST LONDON
9203994.51,2021-04-01,1344920,89518306.3,78H,NHS NORTHAMPTONSHIRE
8322317.47,2021-04-01,1324784,78111136.7,84H,NHS COUNTY DURHAM
24527484.65,2021-04-01,2818776,232594453.20000008,91Q,NHS KENT AND MEDWAY
13680686.27,2021-04-01,1380463,124203096.39999998,92A,NHS SURREY HEARTLANDS
11214377.62,2021-04-01,1485385,104168117.3,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
14818408.11,2021-04-01,1756299,169378761.90000004,93C,NHS NORTH CENTRAL LONDON
8320211.1,2021-04-01,948543,70791314.30000001,97R,NHS EAST SUSSEX
7706610.5,2021-04-01,990945,102640292.69999997,99A,NHS LIVERPOOL
3042066.18,2021-04-01,461995,32707603.4,99C,NHS NORTH TYNESIDE
3359541.86,2021-04-01,368824,27162752.240000002,99E,NHS BASILDON AND BRENTWOOD
2600868.71,2021-04-01,275116,18704072.200000003,99F,NHS CASTLE POINT AND ROCHFORD
2432651.82,2021-04-01,253310,17972745.0,99G,NHS SOUTHEND
20047348.54,2021-04-01,2617638,245413811.4000001,A3A8R,NHS NORTH EAST LONDON
12057290.8,2021-04-01,1566983,141595933.5,B2M3M,NHS COVENTRY AND WARWICKSHIRE
18158483.51,2021-04-01,2006731,204439910.49999997,D2P2L,NHS BLACK COUNTRY
105494.19,2021-04-01,8046,556126.0,D4U1Y,NHS FRIMLEY
24351674.57,2021-04-01,2561209,219682122.39999998,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
10848131.68,2021-04-01,1259819,110747368.69999999,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
6949559.4,2021-04-01,775075,66378850.900000006,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
3953649.46,2021-04-01,475555,42145031.10000002,U2G6B,NHS THAMES VALLEY ICB - U2G6B
20728952.27,2021-04-01,2664790,216221819.21000004,W2U3Z,NHS NORTH WEST LONDON
5799083.69,2021-04-01,745162,61904412.199999996,X2C4Y,NHS KIRKLEES
4571673.5,2021-05-01,684153,46728882.2,00L,NHS NORTHUMBERLAND
2272886.44,2021-05-01,331948,24504824.5,00N,NHS SOUTH TYNESIDE
4060437.63,2021-05-01,710570,42928300.9,00P,NHS SUNDERLAND
2176414.34,2021-05-01,280557,21199844.4,00Q,NHS BLACKBURN WITH DARWEN
2659419.12,2021-05-01,380357,24892054.200000003,00R,NHS BLACKPOOL
4051607.52,2021-05-01,486042,43016316.6,00T,NHS BOLTON
2653526.92,2021-05-01,304302,27609481.5,00V,NHS BURY
2361069.58,2021-05-01,278183,23584824.0,00X,NHS CHORLEY AND SOUTH RIBBLE
3565191.63,2021-05-01,430527,40502278.1,00Y,NHS OLDHAM
4963790.95,2021-05-01,646573,43663117.49999999,01A,NHS EAST LANCASHIRE
3210551.7,2021-05-01,357044,35880172.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2499194.42,2021-05-01,321288,27915114.5,01E,NHS GREATER PRESTON
2029612.15,2021-05-01,236310,21709035.1,01F,NHS HALTON
3378296.05,2021-05-01,459559,37031167.39999999,01G,NHS SALFORD
4640799.13,2021-05-01,607405,42622560.099999994,01H,NHS NORTH CUMBRIA
2597785.85,2021-05-01,332474,30408376.1,01J,NHS KNOWSLEY
4374016.45,2021-05-01,582321,42331693.300000004,01K,NHS MORECAMBE BAY
2330660.78,2021-05-01,303991,29177742.8,01T,NHS SOUTH SEFTON
1910951.54,2021-05-01,243591,19528192.1,01V,NHS SOUTHPORT AND FORMBY
4198083.76,2021-05-01,524405,43215478.7,01W,NHS STOCKPORT
3149371.16,2021-05-01,399657,34485467.6,01X,NHS ST HELENS
3167486.17,2021-05-01,385339,33288612.3,01Y,NHS TAMESIDE AND GLOSSOP
2878715.48,2021-05-01,385127,30383759.699999996,02A,NHS TRAFFORD
2801530.25,2021-05-01,314922,27282626.600000005,02E,NHS WARRINGTON
1550319.52,2021-05-01,180066,16922663.0,02G,NHS WEST LANCASHIRE
5098970.63,2021-05-01,555394,54532746.7,02H,NHS WIGAN BOROUGH
2745645.25,2021-05-01,380733,25525603.0,02M,NHS FYLDE AND WYRE
3833639.99,2021-05-01,595045,40500603.300000004,02P,NHS BARNSLEY
1676865.6,2021-05-01,230683,16229764.0,02Q,NHS BASSETLAW
2836227.21,2021-05-01,379106,30098559.2,02T,NHS CALDERDALE
4780919.87,2021-05-01,617156,45481560.8,02X,NHS DONCASTER
4571557.37,2021-05-01,597582,46284249.300000004,02Y,NHS EAST RIDING OF YORKSHIRE
3999453.33,2021-05-01,550448,44976180.9,03F,NHS HULL
2334629.64,2021-05-01,317524,24659414.3,03H,NHS NORTH EAST LINCOLNSHIRE
2795333.83,2021-05-01,383422,29528100.0,03K,NHS NORTH LINCOLNSHIRE
3599107.99,2021-05-01,494140,27868591.6,03L,NHS ROTHERHAM
7770771.27,2021-05-01,1061928,79602870.99999999,03N,NHS SHEFFIELD
2759005.5,2021-05-01,327708,27064403.2,03Q,NHS VALE OF YORK
5114070.5,2021-05-01,628732,52410865.69999999,03R,NHS WAKEFIELD
4195685.55,2021-05-01,499043,39715211.599999994,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
4171148.05,2021-05-01,536176,51931221.8,04C,NHS LEICESTER CITY
4808066.25,2021-05-01,619383,47251312.5,04V,NHS WEST LEICESTERSHIRE
1962988.77,2021-05-01,224721,22071284.0,04Y,NHS CANNOCK CHASE
1795346.38,2021-05-01,219899,17953037.8,05D,NHS EAST STAFFORDSHIRE
3220767.05,2021-05-01,385182,36484018.1,05G,NHS NORTH STAFFORDSHIRE
2764203.95,2021-05-01,337363,28093053.400000002,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
2067189.85,2021-05-01,241583,22160393.0,05V,NHS STAFFORD AND SURROUNDS
4335671.11,2021-05-01,532214,55414117.4,05W,NHS STOKE ON TRENT
10495340.83,2021-05-01,1407881,102161672.90000002,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
6928585.3,2021-05-01,922908,61695983.1,06K,NHS EAST AND NORTH HERTFORDSHIRE
5161590.29,2021-05-01,677290,48001104.9,06L,NHS IPSWICH AND EAST SUFFOLK
6337837.97,2021-05-01,765454,58590023.800000004,06N,NHS HERTS VALLEYS
4594717.63,2021-05-01,617357,35886650.3,06Q,NHS MID ESSEX
5179098.85,2021-05-01,680116,49844179.90000001,06T,NHS NORTH EAST ESSEX
1900741.04,2021-05-01,244457,16334343.2,07G,NHS THURROCK
3580942.6,2021-05-01,464006,34241766.300000004,07H,NHS WEST ESSEX
3718961.67,2021-05-01,506533,30858206.199999996,07K,NHS WEST SUFFOLK
3015132.19,2021-05-01,370032,26263299.800000004,09D,NHS BRIGHTON AND HOVE
7619685.66,2021-05-01,949426,68469972.8,10Q,NHS OXFORDSHIRE
2554605.97,2021-05-01,277683,23985080.7,10R,NHS PORTSMOUTH
10731822.8,2021-05-01,1259699,95381468.71000001,11J,NHS DORSET
7814776.35,2021-05-01,1041265,56164012.199999996,11M,NHS GLOUCESTERSHIRE
8169925.59,2021-05-01,1087095,68679916.4,11N,NHS CORNWALL AND THE ISLES OF SCILLY
7085938.63,2021-05-01,876747,62037187.599999994,11X,NHS SOMERSET
5351896.8,2021-05-01,624620,54733404.5,12F,NHS WIRRAL
6535389.42,2021-05-01,1044197,75803182.50000001,13T,NHS NEWCASTLE GATESHEAD
7559622.46,2021-05-01,963272,96935795.5,14L,NHS MANCHESTER
5615464.47,2021-05-01,643116,54685492.599999994,14Y,NHS BUCKINGHAMSHIRE
5341237.74,2021-05-01,619387,50389859.599999994,15A,NHS BERKSHIRE WEST
10930450.8,2021-05-01,1297345,99525253.30000003,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
16840689.25,2021-05-01,1853236,207516342.50000006,15E,NHS BIRMINGHAM AND SOLIHULL
10182620.98,2021-05-01,1224711,104645503.79999995,15F,NHS LEEDS
13095653.24,2021-05-01,1602948,138388025.0,15M,NHS DERBY AND DERBYSHIRE
16462776.19,2021-05-01,2089239,150500861.91000003,15N,NHS DEVON
9832609.25,2021-05-01,1347841,95387749.1,16C,NHS TEES VALLEY
10411890.77,2021-05-01,1206030,90019473.3,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
14511741.68,2021-05-01,1958663,142310589.4,26A,NHS NORFOLK AND WAVENEY
10119995.64,2021-05-01,1279696,99171331.1,27D,NHS CHESHIRE
7989103.83,2021-05-01,981492,89872861.90000002,36J,NHS BRADFORD DISTRICT AND CRAVEN
13985972.03,2021-05-01,1784307,139002586.29999998,36L,NHS SOUTH WEST LONDON
7654467.76,2021-05-01,967905,70033960.49999999,42D,NHS NORTH YORKSHIRE
12382260.87,2021-05-01,1606039,118341894.69999999,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
11693416.46,2021-05-01,1263528,108461172.70000002,70F,NHS WEST SUSSEX
12091408.31,2021-05-01,1730998,110306228.9,71E,NHS LINCOLNSHIRE
16799938.66,2021-05-01,1887793,170129135.50000006,72Q,NHS SOUTH EAST LONDON
8750674.25,2021-05-01,1272609,83588172.1,78H,NHS NORTHAMPTONSHIRE
7908385.02,2021-05-01,1272518,74102574.5,84H,NHS COUNTY DURHAM
23396171.41,2021-05-01,2682589,221508843.8000001,91Q,NHS KENT AND MEDWAY
13432177.35,2021-05-01,1358525,122192741.3,92A,NHS SURREY HEARTLANDS
10814277.88,2021-05-01,1426331,100340993.4,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
14102626.6,2021-05-01,1666075,160034095.09999993,93C,NHS NORTH CENTRAL LONDON
8069988.07,2021-05-01,918011,67076329.199999996,97R,NHS EAST SUSSEX
7266835.01,2021-05-01,941244,96885881.60000004,99A,NHS LIVERPOOL
2916932.29,2021-05-01,446911,30261657.6,99C,NHS NORTH TYNESIDE
3188663.82,2021-05-01,345553,25509528.200000003,99E,NHS BASILDON AND BRENTWOOD
2393496.89,2021-05-01,249313,17069876.1,99F,NHS CASTLE POINT AND ROCHFORD
2289001.94,2021-05-01,241004,16763327.399999997,99G,NHS SOUTHEND
19156623.81,2021-05-01,2491208,229556137.70000002,A3A8R,NHS NORTH EAST LONDON
11539329.45,2021-05-01,1495499,107003472.6,B2M3M,NHS COVENTRY AND WARWICKSHIRE
16999302.65,2021-05-01,1882579,189739011.10000002,D2P2L,NHS BLACK COUNTRY
120417.8,2021-05-01,9072,607744.0,D4U1Y,NHS FRIMLEY
23730365.98,2021-05-01,2491211,214433225.99999997,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
10566560.93,2021-05-01,1218494,107192605.2,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
6621231.22,2021-05-01,736101,63060685.8,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
3747110.1,2021-05-01,453289,39044531.6,U2G6B,NHS THAMES VALLEY ICB - U2G6B
20309278.97,2021-05-01,2588881,211083180.9,W2U3Z,NHS NORTH WEST LONDON
5624938.41,2021-05-01,717676,59498357.900000006,X2C4Y,NHS KIRKLEES
4927055.46,2021-06-01,731135,52104450.3,00L,NHS NORTHUMBERLAND
2411031.68,2021-06-01,360054,26219219.299999997,00N,NHS SOUTH TYNESIDE
